#separator:tab
#html:true
#columns:Front	Back	Tags
【第102回 問1】物理・分析の基礎・バリデーション<br><br>次の関係式のうち、正しいのはどれか。1つ選べ。<br><br>1. 1kHz ＝ 1× 10□Hz<br>2. 1nm ＝ 1× 10□□m<br>3. 1ppm ＝ 1× 10□□％<br>4. 1μg ＝ 1× 10□□g<br>5. 1w/v％ ＝ 1× 10□g/L	<b>正答：2</b><br>1nm ＝ 1× 10□□m<br><br>テーマ：分析の基礎・バリデーション（10年10問・6/10回）	薬剤師国家試験 必須問題 科目::物理 テーマ::分析の基礎_バリデーション 第102回
【第110回 問17】衛生・感染症・予防接種<br><br>再興感染症はどれか。1つ選べ。<br><br>1. 結核<br>2. クリプトスポリジウム症<br>3. 重症急性呼吸器症候群（SARS）<br>4. レジオネラ症<br>5. ロタウイルス感染症	<b>正答：1</b><br>結核<br><br>テーマ：感染症・予防接種（10年10問・9/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::感染症_予防接種 第110回
【第110回 問18】衛生・化学物質の毒性・解毒<br><br>有害物質の経皮曝露を防ぐために化学防護手袋を使用することは、労働衛生の5管理のうち、どれに該当するか。1つ選べ。<br><br>1. 総括管理<br>2. 健康管理<br>3. 作業管理<br>4. 労働衛生教育<br>5. 作業環境管理	<b>正答：3</b><br>作業管理<br><br>テーマ：化学物質の毒性・解毒（10年20問・10/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::化学物質の毒性_解毒 第110回
【第110回 問19】衛生・食中毒・食品衛生<br><br>以下の構造式で示す腐敗アミンの前駆体となるアミノ酸はどれか。1つ選べ。 HN N NH2<br><br>1. リシン<br>2. チロシン<br>3. ヒスチジン<br>4. アルギニン<br>5. トリプトファン	<b>正答：3</b><br>ヒスチジン<br><br>テーマ：食中毒・食品衛生（10年19問・9/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::食中毒_食品衛生 第110回
【第110回 問20】衛生・食中毒・食品衛生　📐図・構造式<br><br>コウジカビ Aspergillus flavus が産生する主要な肝発がん物質はどれか。1つ選べ。<br><br>1. シトリニン<br>2. パツリン<br>3. アフラトキシン B 1<br>4. フモニシン B 1<br>5. デオキシニバレノール	<b>正答：3</b><br>アフラトキシン B 1<br><br>テーマ：食中毒・食品衛生（10年19問・9/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::食中毒_食品衛生 第110回 flag::図
【第110回 問21】衛生・化学物質の毒性・解毒　⚠️否定形 📐図・構造式<br><br>主に非意図的に生成することから化審法（注）で規制されていないのはどれか。1つ選べ。（注）化審法：化学物質の審査及び製造等の規制に関する法律<br><br>1. ポリ塩化ジベンゾ︲p︲ジオキシン<br>2. ポリ塩化ビフェニル<br>3. ペルフルオロ（オクタン︲1︲スルホン酸）<br>4. ヘキサブロモビフェニル<br>5. ビス（トリブチルスズ）= オキシド	<b>正答：1</b><br>ポリ塩化ジベンゾ︲p︲ジオキシン<br><br>テーマ：化学物質の毒性・解毒（10年20問・10/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::化学物質の毒性_解毒 第110回 flag::否定形 flag::図
【第110回 問22】衛生・放射線・物理的環境要因<br><br>非電離放射線のうち、眼の水晶体タンパク質の変性によってガラス工白内障を引き起こすのはどれか。1つ選べ。<br><br>1. UVA<br>2. UVB<br>3. UVC<br>4. 赤外線<br>5. 可視光線	<b>正答：4</b><br>赤外線<br><br>テーマ：放射線・物理的環境要因（10年4問・3/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::放射線_物理的環境要因 第110回
【第110回 問23】衛生・環境衛生　📐図・構造式<br><br>水道水質基準の基準項目に定められている大腸菌を特異的に検出するための基質はどれか。1つ選べ。 Br Cl CH2OH HO O O CH2OH HO O O NH CH2OH O O CN OH NO2 OH OH HO OH OH OH CH3 CO2H O O OH HO OH O O CH2OH O O N － O N ＋ CH3 OH HO OH<br><br>※図・構造式が必要な問題です	<b>正答：4</b><br><br>テーマ：環境衛生（10年22問・10/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::環境衛生 第110回 flag::図
【第110回 問24】衛生・環境衛生<br><br>湖沼で藍藻類や放線菌が産生するカビ臭の原因物質はどれか。1つ選べ。<br><br>1. クロラミン<br>2. ジェオスミン<br>3. トリハロメタン<br>4. クロロフェノール<br>5. ミクロシスチン	<b>正答：2</b><br>ジェオスミン<br><br>テーマ：環境衛生（10年22問・10/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::環境衛生 第110回
【第110回 問25】衛生・環境衛生<br><br>逆転層は大気汚染物質の滞留を引き起こす。盆地や谷間などの低地に冷たい空気が流入して発生するのはどれか。1つ選べ。<br><br>1. 沈降性逆転層<br>2. 地形性逆転層<br>3. 放射性逆転層<br>4. 移流性逆転層<br>5. 前線性逆転層	<b>正答：2</b><br>地形性逆転層<br><br>テーマ：環境衛生（10年22問・10/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::環境衛生 第110回
【第110回 問26】薬理・自律神経作用薬<br><br>モルモット摘出回腸標本の収縮反応について、アセチルコリン単独による濃度︲ 反応曲線（破線）と、薬物Ｘ存在下でのアセチルコリンによる濃度︲反応曲線（実線）を作成したところ、下図のようになった。薬物Ｘはどれか。1つ選べ。ただし、アセチルコリン単独により生じる最大収縮を100％とした。また、薬物 Ｘの単独では収縮反応が生じなかった。反応率（％）100 50 0<br><br>1. ヒスタミン<br>2. アトロピン<br>3. ピリドスチグミン<br>4. パパベリン<br>5. ベタネコールアセチルコリン（対数濃度）	<b>正答：4</b><br>パパベリン<br><br>テーマ：自律神経作用薬（10年38問・10/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::自律神経作用薬 第110回
【第110回 問27】薬理・自律神経作用薬<br><br>フェニレフリンの昇圧作用の機序はどれか。1つ選べ。<br><br>1. アドレナリン a1受容体刺激<br>2. アドレナリン a2受容体遮断<br>3. アドレナリン b1受容体刺激<br>4. カテコール︲O ︲メチルトランスフェラーゼ阻害<br>5. ノルアドレナリン再取り込み阻害	<b>正答：1</b><br>アドレナリン a1受容体刺激<br><br>テーマ：自律神経作用薬（10年38問・10/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::自律神経作用薬 第110回
【第110回 問28】薬理・自律神経作用薬　📐図・構造式<br><br>ピロカルピンが毛様体筋を収縮させる機序はどれか。1つ選べ。<br><br>1. アドレナリン a1受容体遮断<br>2. アドレナリン a2受容体刺激<br>3. アドレナリン b2受容体遮断<br>4. アセチルコリン M2受容体遮断<br>5. アセチルコリン M3受容体刺激	<b>正答：5</b><br>アセチルコリン M3受容体刺激<br><br>テーマ：自律神経作用薬（10年38問・10/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::自律神経作用薬 第110回 flag::図
【第110回 問29】薬理・自律神経作用薬<br><br>ロクロニウムの筋弛緩作用に関わる作用点はどれか。1つ選べ。<br><br>1. アセチルコリン NM 受容体<br>2. 電位依存性 Na+ チャネル<br>3. リアノジン受容体<br>4. コリンアセチルトランスフェラーゼ<br>5. コリンエステラーゼ	<b>正答：1</b><br>アセチルコリン NM 受容体<br><br>テーマ：自律神経作用薬（10年38問・10/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::自律神経作用薬 第110回
【第110回 問30】薬理・薬理学総論<br><br>オレキシン受容体を選択的に遮断することで、睡眠を誘導するのはどれか。1つ選べ。<br><br>1. ヒドロキシジン<br>2. リルマザホン<br>3. レンボレキサント<br>4. ゾピクロン<br>5. ペントバルビタール	<b>正答：3</b><br>レンボレキサント<br><br>テーマ：薬理学総論（10年9問・5/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::薬理学総論 第110回
【第110回 問31】薬理・自律神経作用薬<br><br>タンドスピロンの抗不安作用に関わる作用点はどれか。1つ選べ。<br><br>1. ドパミン D2受容体<br>2. c︲アミノ酪酸 GABAA 受容体<br>3. ニコチン性アセチルコリン受容体<br>4. セロトニン5︲HT1A 受容体<br>5. ヒスタミン H1受容体	<b>正答：4</b><br>セロトニン5︲HT1A 受容体<br><br>テーマ：自律神経作用薬（10年38問・10/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::自律神経作用薬 第110回
【第110回 問32】薬理・中枢神経作用薬<br><br>グルタミン酸 NMDA 受容体を遮断するアルツハイマー型認知症治療薬はどれか。1つ選べ。<br><br>1. リバスチグミン<br>2. ドネペジル<br>3. エダラボン<br>4. メマンチン<br>5. ガランタミン	<b>正答：4</b><br>メマンチン<br><br>テーマ：中枢神経作用薬（10年25問・9/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::中枢神経作用薬 第110回
【第110回 問33】薬理・抗がん薬・免疫<br><br>尋常性乾癬の治療に用いられるセクキヌマブの標的分子はどれか。1つ選べ。<br><br>1. ホスホジエステラーゼⅣ（PDE Ⅳ）<br>2. チロシンキナーゼ2（Tyk2）<br>3. ビタミン D 受容体<br>4. IL︲12及び IL︲23<br>5. IL︲17A	<b>正答：5</b><br>IL︲17A<br><br>テーマ：抗がん薬・免疫（10年8問・7/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::抗がん薬_免疫 第110回
【第110回 問34】薬理・循環器作用薬<br><br>細胞内サイクリック GMP（cGMP）濃度上昇作用及び K + チャネル開口作用を併せ持つ狭心症治療薬はどれか。1つ選べ。<br><br>1. ニコランジル<br>2. ベラパミル<br>3. ジルチアゼム<br>4. 硝酸イソソルビド<br>5. アテノロール	<b>正答：1</b><br>ニコランジル<br><br>テーマ：循環器作用薬（10年15問・9/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::循環器作用薬 第110回
【第110回 問35】薬理・血液・造血薬<br><br>アンチトロンビン非依存的に血液凝固第 Xa 因子の活性を直接阻害する抗凝固薬はどれか。1つ選べ。<br><br>1. エノキサパリン<br>2. フォンダパリヌクス<br>3. ダビガトランエテキシラート<br>4. ワルファリン<br>5. エドキサバン	<b>正答：5</b><br>エドキサバン<br><br>テーマ：血液・造血薬（10年5問・5/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::血液_造血薬 第110回
【第110回 問36】薬理・中枢神経作用薬<br><br>タキキニン NK1受容体を遮断して、抗悪性腫瘍薬による遅発性嘔吐を抑制するのはどれか。1つ選べ。<br><br>1. オンダンセトロン<br>2. ドンペリドン<br>3. アプレピタント<br>4. ジメンヒドリナート<br>5. メトクロプラミド	<b>正答：3</b><br>アプレピタント<br><br>テーマ：中枢神経作用薬（10年25問・9/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::中枢神経作用薬 第110回
【第110回 問37】薬理・内分泌・代謝薬<br><br>高尿酸血症治療薬トピロキソスタットが阻害するのはどれか。1つ選べ。<br><br>1. シクロオキシゲナーゼ<br>2. キサンチンオキシダーゼ<br>3. 尿酸オキシダーゼ<br>4. 尿酸トランスポーター<br>5. 有機アニオントランスポーター	<b>正答：2</b><br>キサンチンオキシダーゼ<br><br>テーマ：内分泌・代謝薬（10年24問・9/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::内分泌_代謝薬 第110回
【第110回 問38】薬理・泌尿器・眼科・その他<br><br>プロゲステロン受容体を刺激して、子宮内膜細胞の増殖を抑制するのはどれか。1つ選べ。<br><br>1. リュープロレリン<br>2. タモキシフェン<br>3. ジエノゲスト<br>4. エンザルタミド<br>5. デュタステリド	<b>正答：3</b><br>ジエノゲスト<br><br>テーマ：泌尿器・眼科・その他（10年2問・2/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::泌尿器_眼科_その他 第110回
【第110回 問39】薬理・抗菌・抗ウイルス・抗真菌薬<br><br>ペプチドグリカン前駆体のペンタペプチド末端の D︲アラニル︲D︲アラニンと結合して、細菌の細胞壁合成を阻害するのはどれか。1つ選べ。<br><br>1. アミカシン<br>2. セファゾリン<br>3. バンコマイシン<br>4. メロペネム<br>5. ミカファンギン	<b>正答：3</b><br>バンコマイシン<br><br>テーマ：抗菌・抗ウイルス・抗真菌薬（10年5問・5/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::抗菌_抗ウイルス_抗真菌薬 第110回
【第110回 問40】薬理・抗がん薬・免疫<br><br>HER2（ヒト上皮増殖因子受容体2型）と結合することにより、乳がん細胞の増殖を抑制するのはどれか。1つ選べ。<br><br>1. エキセメスタン<br>2. トラスツズマブ<br>3. ベバシズマブ<br>4. ダウノルビシン<br>5. ブスルファン	<b>正答：2</b><br>トラスツズマブ<br><br>テーマ：抗がん薬・免疫（10年8問・7/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::抗がん薬_免疫 第110回
【第110回 問41】薬剤・未分類　📐図・構造式<br><br>下図のように、細胞膜の形態変化を伴って高分子医薬品を細胞内へ取り込む輸送機構はどれか。1つ選べ。細胞外細胞膜高分子医薬品細胞内<br><br>1. 単純拡散<br>2. 促進拡散<br>3. 一次性能動輸送<br>4. 二次性能動輸送<br>5. 膜動輸送	<b>正答：5</b><br>膜動輸送<br><br>テーマ：未分類（10年6問・5/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::未分類 第110回 flag::図
